style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24a081509;73 pro;skb;253;;billabong;men;adult;swim;boardshorts;regular;surf;recycled;;"Product type: Performance boardshorts^Fabric/tech: Recycler 4 way stretch. A high performance fabric.^Made from recylced PET plastic bottles. The perfect combination of performance and comfort.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Outseam: 17,5"", mid length^Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. ^Waist: Fixed ^Pockets: Side patch ^This 73 boardshort features our signature 73 split binding detail and scallop hem."
24a081514;73 lt;ssb;253;;billabong;men;adult;swim;boardshorts;regular;surf;recycled;;"Product type: Lo tides 17,5"" boardshorts^Fabric/tech: Recycler 4 way stretch. A high performance fabric.^Made from recycled PET plastic bottles.^The perfect combination of performance and comfort.^WR: Micro Repel water repellent coating for a light weight and quick drying fabric^Outseam: 17,5"", mid length^Fit: Lo Tide, a modern fit featuring side pockets and an elastic lasso waist. Equally perfect for a lounge on the beach or a quick shred.^Waist: Lasso. Features a full waist drawcord for the ideal fit.^Pockets: side, back patch.^This 73 boardshort features our signature 73 split binding detail and scallop hem."
24a081516;wategos lt;sgg;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type: Lo tides 18,5"" boardshorts. Fabric/tech: Recycler 4 way stretch. A high performance fabric. Made from recycled PET plastic bottles. The perfect combination of performance and comfort. WR: Micro Repel water repellent coating for a light weight and quick drying fabric. Outseam: 18,5"", mid length. Fit: Lo Tide, a modern fit featuring side pockets and an elastic lasso waist. Equally perfect for a lounge on the beach or a quick shred. Waist: Lasso. Features a full waist drawcord for the ideal fit. Pockets: side, back patch. This Lo Tide boardshort features a contrast side taping. Fixed waist. Woven label branding."
24a081518;sundays lt;phm;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"18.5"", 4-Way Pro Stretch. Back patch pocket. Fixed waist. Woven label branding."
24a081521;straddie pro;pew;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type: Performance boardshorts. Outseam: 20"", regular length. Fabric/tech: Upcycler 4 way stretch. A high performance fabric made from sustainable polyester recycled from waste textiles and old clothing, and recycled PET plastic bottles. The perfect combination of performance and comfort. WR: Micro Repel water repellent coating for a light weight and quick drying fabric. Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. Waist: Fixed. Pockets: Back pocket. Featuring engineered panels with compression mesh fabric and contrast piping detail. Stealth zip entry pocket at right hip. Fixed Waist. Screenprinted logos at left and right hips."
24a081522;fluid 2k pro;dkn;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type: Performance boardshorts. Fabric/tech: Recycler 4 way stretch. A high performance fabric. Made from recylced PET plastic bottles. The perfect combination of performance and comfort. WR: Micro Repel water repellent coating for a light weight and quick drying fabric. Outseam: 21"", regular length. Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. Waist: Fixed. Fluid 2K Pro offers classic style and top notch performance. RHS hip concealed zip entry pocket. Fixed Waist. Embroidery/ Screen print."
24a081522;fluid 2k pro;sth;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Product type: Performance boardshorts. Fabric/tech: Recycler 4 way stretch. A high performance fabric. Made from recylced PET plastic bottles. The perfect combination of performance and comfort. WR: Micro Repel water repellent coating for a light weight and quick drying fabric. Outseam: 21"", regular length. Fit: Performance, featuring engineered fit and paneling to reduce seams, enhance stretch, and improve performance. Waist: Fixed. Fluid 2K Pro offers classic style and top notch performance. RHS hip concealed zip entry pocket. Fixed Waist. Embroidery/ Screen print."
24a083575;spec 73 d bah 2.0 pro;dbr;253;;billabong;men;adult;swim;boardshorts;regular;surf;recycled;;"Part of the Spec73 collection^20""Leg Length^Fixed Waist Performance Boardshort^Finished with a micro repellent coating for a light weight, quick drying fabric^Cut'n'sew panel ^Engineered logo placement^Silicon Spec 73 trim branding highlights."
24a083576;bracket pro 21;blk;253;;billabong;men;adult;swim;boardshorts;regular;surf;;;"Part of the Spec73 collection^21""Length, Fixed Waist Performance Boardshort.Made from recycled PET plastic bottles and finished with a micro repellent coating for a light weight, quick drying fabric.1 x cut 'n' sew panel features Billabong stencil font and bracket wave logo.^back pocket^Spec73 branding."
24a083577;spec 73 pro;frs;253;;billabong;men;adult;swim;boardshorts;regular;surf;recycled;;"Part of the Spec73 collection^22""Length, Fixed Waist Performance Boardshort.Made from recycled PET plastic bottles and finished with a micro repellent coating for a light weight, quick drying fabric.^Billabong stencil font and bracket wave logo branding on one side , Small pocket on the other side^Spec73 branding."
